block,timestamp,time_utc,user_tx_count,user_gas_used,l1_data_gas,reverted_gas,reverted_tx_count
52282000,1788322565,2026-09-02T04:16:05Z,12,2619517,0,0,0
52294000,1788323774,2026-09-02T04:36:14Z,12,8053214,5535,820700,4
52306000,1788324984,2026-09-02T04:56:24Z,21,4999346,0,471497,3
52318000,1788326196,2026-09-02T05:16:36Z,3,1347840,1119,0,0
52330000,1788327405,2026-09-02T05:36:45Z,10,1551693,0,147090,1
52342000,1788328614,2026-09-02T05:56:54Z,14,2681633,0,0,0
52354000,1788329826,2026-09-02T06:17:06Z,10,3059890,0,0,0
52366000,1788331036,2026-09-02T06:37:16Z,7,1508961,0,0,0
52378000,1788332247,2026-09-02T06:57:27Z,6,2749714,0,0,0
52390000,1788333448,2026-09-02T07:17:28Z,13,6812892,1973,0,0
52402000,1788334656,2026-09-02T07:37:36Z,6,1680782,0,0,0
52414000,1788335864,2026-09-02T07:57:44Z,6,2174743,0,0,0
52426000,1788337075,2026-09-02T08:17:55Z,8,2170480,0,32233,1
52438000,1788338286,2026-09-02T08:38:06Z,8,1935818,0,0,0
52450000,1788339496,2026-09-02T08:58:16Z,2,376146,0,0,0
52462000,1788340705,2026-09-02T09:18:25Z,4,4720299,0,0,0
52474000,1788341915,2026-09-02T09:38:35Z,5,1183084,102,0,0
52486000,1788343127,2026-09-02T09:58:47Z,20,4172989,0,906814,1
52498000,1788344334,2026-09-02T10:18:54Z,10,2687291,0,38321,1
52510000,1788345543,2026-09-02T10:39:03Z,6,1393430,0,0,0
52522000,1788346751,2026-09-02T10:59:11Z,8,1207284,0,67838,2
52534000,1788347961,2026-09-02T11:19:21Z,14,2150160,0,0,0
52546000,1788349169,2026-09-02T11:39:29Z,6,2689890,0,0,0
52558000,1788350380,2026-09-02T11:59:40Z,19,6314956,0,668005,1
52570000,1788351591,2026-09-02T12:19:51Z,12,3084350,0,31563,1
52582000,1788352799,2026-09-02T12:39:59Z,12,2996954,0,0,0
52594000,1788354010,2026-09-02T13:00:10Z,32,14370599,24620,265911,1
52606000,1788355221,2026-09-02T13:20:21Z,11,1412761,0,21727,1
52618000,1788356435,2026-09-02T13:40:35Z,31,8250630,0,725607,9
52630000,1788357652,2026-09-02T14:00:52Z,26,12351786,0,92607,2
52642000,1788358865,2026-09-02T14:21:05Z,13,6050683,0,75299,1
52654000,1788360078,2026-09-02T14:41:18Z,17,5642657,0,1045144,5
52666000,1788361296,2026-09-02T15:01:36Z,13,1596123,0,35135,1
52678000,1788362510,2026-09-02T15:21:50Z,15,4812783,0,0,0
52690000,1788363725,2026-09-02T15:42:05Z,16,6995663,0,866493,2
52702000,1788364940,2026-09-02T16:02:20Z,16,4435990,0,0,0
52714000,1788366153,2026-09-02T16:22:33Z,14,3533149,0,0,0
52726000,1788367368,2026-09-02T16:42:48Z,21,6793980,0,1409373,8
52738000,1788368597,2026-09-02T17:03:17Z,18,3345486,568,725557,4
52750000,1788369862,2026-09-02T17:24:22Z,9,1754199,0,133614,2
52762000,1788371147,2026-09-02T17:45:47Z,29,13004225,0,0,0
52774000,1788372408,2026-09-02T18:06:48Z,23,5042283,0,402251,6
52786000,1788373658,2026-09-02T18:27:38Z,26,9187040,0,631902,3
52798000,1788374905,2026-09-02T18:48:25Z,14,7084735,0,0,0
52810000,1788376155,2026-09-02T19:09:15Z,10,8365224,0,83395,1
52822000,1788377396,2026-09-02T19:29:56Z,8,4301943,0,206960,1
52834000,1788378635,2026-09-02T19:50:35Z,11,2326472,0,62897,2
52846000,1788379876,2026-09-02T20:11:16Z,17,7028382,0,720467,5
52858000,1788381125,2026-09-02T20:32:05Z,12,3487136,0,0,0
52870000,1788382362,2026-09-02T20:52:42Z,17,5143769,0,31561,1
52882000,1788383605,2026-09-02T21:13:25Z,15,4693375,0,31573,1
52894000,1788384847,2026-09-02T21:34:07Z,11,2060338,0,0,0
52906000,1788386081,2026-09-02T21:54:41Z,9,2053425,0,0,0
52918000,1788387319,2026-09-02T22:15:19Z,31,8305940,0,2600012,11
52930000,1788388563,2026-09-02T22:36:03Z,10,7430243,0,0,0
52942000,1788389798,2026-09-02T22:56:38Z,11,2971272,0,301385,1
52954000,1788391037,2026-09-02T23:17:17Z,8,2110528,513,0,0
52966000,1788392271,2026-09-02T23:37:51Z,20,13788264,0,1196007,6
52978000,1788393503,2026-09-02T23:58:23Z,9,3478524,0,370568,1
52990000,1788394738,2026-09-03T00:18:58Z,10,1819802,0,0,0
53002000,1788395968,2026-09-03T00:39:28Z,14,3216141,0,701749,3
53014000,1788397201,2026-09-03T01:00:01Z,9,2602397,0,61984,2
53026000,1788398434,2026-09-03T01:20:34Z,9,1559762,699,28569,1
53038000,1788399662,2026-09-03T01:41:02Z,9,3046200,0,661050,1
53050000,1788400895,2026-09-03T02:01:35Z,8,2953879,1193,0,0
53062000,1788402126,2026-09-03T02:22:06Z,6,2032323,0,0,0
53074000,1788403355,2026-09-03T02:42:35Z,3,618876,0,0,0
53086000,1788404589,2026-09-03T03:03:09Z,11,1593315,997,0,0
53098000,1788405825,2026-09-03T03:23:45Z,14,3762240,0,773163,1
53110000,1788407058,2026-09-03T03:44:18Z,7,2852361,0,0,0
53122000,1788408289,2026-09-03T04:04:49Z,7,2065136,270,0,0
53134000,1788409520,2026-09-03T04:25:20Z,9,1443875,0,0,0
53146000,1788410750,2026-09-03T04:45:50Z,15,3812988,0,21806,1
53158000,1788411981,2026-09-03T05:06:21Z,6,661151,0,136329,2
53170000,1788413211,2026-09-03T05:26:51Z,19,6085332,0,38346,1
53182000,1788414439,2026-09-03T05:47:19Z,5,2188663,0,0,0
53194000,1788415665,2026-09-03T06:07:45Z,5,2112747,68,0,0
53206000,1788416891,2026-09-03T06:28:11Z,7,3339962,0,0,0
53218000,1788418116,2026-09-03T06:48:36Z,2,1520322,3,0,0
53230000,1788419344,2026-09-03T07:09:04Z,3,690154,5,0,0
53242000,1788420572,2026-09-03T07:29:32Z,14,4252169,0,0,0
53254000,1788421799,2026-09-03T07:49:59Z,6,3114548,800,0,0
53266000,1788423023,2026-09-03T08:10:23Z,9,3475732,0,0,0
53278000,1788424255,2026-09-03T08:30:55Z,10,2785766,0,221781,2
53290000,1788425483,2026-09-03T08:51:23Z,9,2152256,703,0,0
53302000,1788426714,2026-09-03T09:11:54Z,13,4956870,174,2315259,4
53314000,1788427939,2026-09-03T09:32:19Z,8,1563270,346,36614,1
53326000,1788429162,2026-09-03T09:52:42Z,18,6743435,0,146075,3
53338000,1788430391,2026-09-03T10:13:11Z,18,4250820,0,0,0
53350000,1788431620,2026-09-03T10:33:40Z,2,1029339,104,0,0
53362000,1788432845,2026-09-03T10:54:05Z,3,2104552,438,0,0
53374000,1788434074,2026-09-03T11:14:34Z,5,1516251,152,0,0
53386000,1788435299,2026-09-03T11:34:59Z,14,3880923,0,161541,3
53398000,1788436521,2026-09-03T11:55:21Z,4,1589301,308,0,0
53410000,1788437758,2026-09-03T12:15:58Z,9,2099597,294,101911,2
53422000,1788438995,2026-09-03T12:36:35Z,38,10721804,0,0,0
53434000,1788440231,2026-09-03T12:57:11Z,19,9640334,0,0,0
53446000,1788441464,2026-09-03T13:17:44Z,8,3240914,9975,0,0
53458000,1788442704,2026-09-03T13:38:24Z,20,6280426,0,651919,4
53470000,1788443957,2026-09-03T13:59:17Z,28,8437513,0,433147,1
53482000,1788445214,2026-09-03T14:20:14Z,53,11450927,0,158542,1
53494000,1788446460,2026-09-03T14:41:00Z,11,2158113,2458,70450,1
53506000,1788447705,2026-09-03T15:01:45Z,24,5688114,18074,508712,9
53518000,1788448960,2026-09-03T15:22:40Z,14,5046309,1645,410746,3
53530000,1788450199,2026-09-03T15:43:19Z,10,2058964,36,0,0
53542000,1788451445,2026-09-03T16:04:05Z,12,3980320,0,0,0
53554000,1788452698,2026-09-03T16:24:58Z,12,5189939,10709,84721,1
53566000,1788453961,2026-09-03T16:46:01Z,20,6618284,0,0,0
53578000,1788455222,2026-09-03T17:07:02Z,6,2816976,8851,1001357,1
53590000,1788456482,2026-09-03T17:28:02Z,14,8159423,0,0,0
53602000,1788457735,2026-09-03T17:48:55Z,4,644336,0,0,0
53614000,1788458989,2026-09-03T18:09:49Z,15,11199763,0,0,0
53626000,1788460243,2026-09-03T18:30:43Z,34,8586814,0,0,0
53638000,1788461455,2026-09-03T18:50:55Z,13,7508346,0,0,0
53650000,1788462664,2026-09-03T19:11:04Z,14,6091001,0,0,0
53662000,1788463872,2026-09-03T19:31:12Z,21,2785405,0,789207,10
53674000,1788465077,2026-09-03T19:51:17Z,6,1907649,0,0,0
53686000,1788466284,2026-09-03T20:11:24Z,11,2841905,0,0,0
53698000,1788467489,2026-09-03T20:31:29Z,18,8926125,0,0,0
53710000,1788468720,2026-09-03T20:52:00Z,17,5740992,0,179394,3
53722000,1788469968,2026-09-03T21:12:48Z,16,4103955,1188,218662,3
53734000,1788471181,2026-09-03T21:33:01Z,13,4623240,3024,1793490,3
53746000,1788472395,2026-09-03T21:53:15Z,13,2148922,0,36585,1
53758000,1788473610,2026-09-03T22:13:30Z,14,8121449,0,0,0
53770000,1788474823,2026-09-03T22:33:43Z,14,3454789,0,0,0
53782000,1788476029,2026-09-03T22:53:49Z,11,3762760,5701,758551,1
53794000,1788477242,2026-09-03T23:14:02Z,24,5618017,0,0,0
53806000,1788478454,2026-09-03T23:34:14Z,10,2280578,0,111853,1
53818000,1788479668,2026-09-03T23:54:28Z,24,4918227,0,0,0
53830000,1788480881,2026-09-04T00:14:41Z,15,2904444,0,68926,1
