batch_sequence,l1_block,l1_timestamp,l1_time_utc,tx_hash,selector,prev_message_count,new_message_count,newest_l2_block,newest_l2_timestamp,posting_delay_s,blobs,nonce,max_fee_per_gas_wei,max_fee_per_blob_gas_wei
193019,25906244,1788552491,2026-09-04T20:08:11Z,0xbf6ccc13345d78ebf67c4a4afc7a8e5bd892c10bc7aa37ae1e7e5bcd9f17f3b5,0x3e5aa082,54535368,54535483,54535482,1788552253,238,3,193018,5784719180,52625970
193020,25906245,1788552503,2026-09-04T20:08:23Z,0x07c476eb2511b04fb285ecf189a7b586953ddc74b3b208809bd87da55c797d2e,0x3e5aa082,54535483,54535588,54535587,1788552265,238,3,193019,5744032420,48109050
193021,25906246,1788552515,2026-09-04T20:08:35Z,0x17d231d9f4332089af665e2209301d3c5a90803b47a05251ce41146a18222a97,0x3e5aa082,54535588,54535719,54535718,1788552279,236,3,193020,5734503130,45485030
193022,25906247,1788552527,2026-09-04T20:08:47Z,0x13a37911e82e15f183a9bbd94f37016258ca155914a06a0b14c4ad55d6572b9e,0x3e5aa082,54535719,54535858,54535857,1788552293,234,3,193021,5733475660,47217970
193023,25906249,1788552551,2026-09-04T20:09:11Z,0xe563fbd6973b23de0789bc4b9e5bb892f41c88aa33c3a5c9bb73e7bbe5f3140e,0x3e5aa082,54535858,54535967,54535966,1788552304,247,3,193022,5713848030,43165220
193024,25906249,1788552551,2026-09-04T20:09:11Z,0x104b228d5819eb63553cc40efad044984d4a150c3fe754e8fd9d4544ba66579e,0x3e5aa082,54535967,54536088,54536087,1788552316,235,3,193023,5713848030,43165220
193025,25906249,1788552551,2026-09-04T20:09:11Z,0x31dc74fcc9fd9a2cbf5343d60e423cf8d35c1aaec866dd71235a43b94fce10c9,0x3e5aa082,54536088,54536199,54536198,1788552327,224,3,193024,5722460410,45826450
193026,25906250,1788552563,2026-09-04T20:09:23Z,0xf65374719e623b6da25d19f711c9251b3191ef6d840a3faf47690298988b4669,0x3e5aa082,54536199,54536332,54536331,1788552341,222,3,193025,5672303830,39608140
193027,25906251,1788552575,2026-09-04T20:09:35Z,0xbb2737a6a9af67d46f1992304f16298ef160d5f72edfd764f3940f1d7ffb24e4,0x3e5aa082,54536332,54536442,54536441,1788552352,223,3,193026,5672303830,39608140
193028,25906252,1788552587,2026-09-04T20:09:47Z,0x5cfcb74f497a4f93fed994509dd4111cd729cb97db206b61ae1fbc5d735655d5,0x3e5aa082,54536442,54536557,54536556,1788552364,223,3,193027,5725110570,41117180
193029,25906253,1788552599,2026-09-04T20:09:59Z,0xec0fbe85c7043e94ea755ee86981c48a7bfd803e368c303e672bfd215276f725,0x3e5aa082,54536557,54536685,54536684,1788552376,223,3,193028,5721540350,41736770
193030,25906254,1788552611,2026-09-04T20:10:11Z,0x530a8e05845b57e7f9b075b7aae933527ffe87a1c918c062fe6228663d41c240,0x3e5aa082,54536685,54536832,54536831,1788552391,220,3,193029,5718394460,43815670
193031,25906255,1788552623,2026-09-04T20:10:23Z,0xec1a88fe8a3cf7b13444a379795161f3a2b5bbfecd54a9433aefe40f52e1fff0,0x3e5aa082,54536832,54536960,54536959,1788552404,219,3,193030,5718394460,43815670
193032,25906256,1788552635,2026-09-04T20:10:35Z,0x5af817f69af8638a6053a33e52b650589c2bf0cf82f452121f0db93c993e479f,0x3e5aa082,54536960,54537100,54537099,1788552419,216,3,193031,5720720470,44475920
193033,25906257,1788552647,2026-09-04T20:10:47Z,0x505eefd448ae44161374e89ba70e4f4874e4c0109591c9f90a4e9708623b8bf2,0x917cf8ac,54537100,54537270,54537269,1788552432,215,3,193032,5747123370,45146130
193034,25906258,1788552659,2026-09-04T20:10:59Z,0x0e24f25e9dec5677751bc6bd0c8840f87b40d09cbca226b15904c44749f79d9a,0x3e5aa082,54537270,54537400,54537399,1788552445,214,3,193033,5724322730,48109030
193035,25906259,1788552671,2026-09-04T20:11:11Z,0xf9ce41f52506fe2a464b26b6662add789731aa87c50ec4d94da5d43931be5403,0x3e5aa082,54537400,54537529,54537528,1788552458,213,3,193034,5724322730,48109030
193036,25906260,1788552683,2026-09-04T20:11:23Z,0x1a001a5fadcd6ed464ce5c0f3872d1a8c6b77341528e38b4bfa3f1ef242c9d75,0x3e5aa082,54537529,54537657,54537656,1788552471,212,3,193035,5733492950,44309930
193037,25906260,1788552683,2026-09-04T20:11:23Z,0x963a09d459f3504040ae33ad9c75e8d8fb7edfb922e5168b0ed0762121bea72e,0x3e5aa082,54537657,54537771,54537770,1788552483,200,3,193036,5691956930,45826430
193038,25906261,1788552695,2026-09-04T20:11:35Z,0x3312480a02a3b61f0a0fccd8f2fab03ba60fbe009b53e0c3d2b1af8b772c451f,0x3e5aa082,54537771,54537917,54537916,1788552498,197,3,193037,5691956930,45826430
193039,25906262,1788552707,2026-09-04T20:11:47Z,0x32d0c2b513b611baec86ba7e9d6348e465579b93821ac505bf47d41e4d645a35,0x3e5aa082,54537917,54538033,54538032,1788552510,197,3,193038,5722541900,40963710
193040,25906263,1788552719,2026-09-04T20:11:59Z,0x295e5fceab54710132de91c20deda3e6ff8ceb26dbf5aa06c850c61185255cf8,0x3e5aa082,54538033,54538173,54538172,1788552524,195,3,193039,5732309200,41893120
193041,25906264,1788552731,2026-09-04T20:12:11Z,0x0aa5e050c2236e90b128b3123acbf35d6835bf1316c594ccd8cbd46e398656cc,0x3e5aa082,54538173,54538310,54538309,1788552538,193,3,193040,5732309200,41893120
193042,25906265,1788552743,2026-09-04T20:12:23Z,0x1fae1f2fe2fa1b09c227dd648adb98ee2dbc8966f94e9f54708d1b622edfe737,0x3e5aa082,54538310,54538449,54538448,1788552552,191,3,193041,5743356350,43979800
193043,25906266,1788552755,2026-09-04T20:12:35Z,0x6b077106a2489d924b90cf3daceba9de8a1b5e5b91a7f948c24cbc3def25e884,0x3e5aa082,54538449,54538580,54538579,1788552565,190,3,193042,5742338770,44475910
193044,25906267,1788552767,2026-09-04T20:12:47Z,0x028a43744eb396b4dc73f7f8e100df19287c0e34164430c28d56ba0add43416f,0x3e5aa082,54538580,54538720,54538719,1788552579,188,3,193043,5771981130,44977630
193045,25906267,1788552767,2026-09-04T20:12:47Z,0xa6c9919380c8f266809d224acd2a55fa0533eb58d3cb3102625d3bdad56b6cc2,0x3e5aa082,54538720,54538867,54538866,1788552594,173,3,193044,5771981130,44977630
193046,25906268,1788552779,2026-09-04T20:12:59Z,0x579f3bbc0ab3bca47a1ca58b161aed2c660e6fc79463d8554a2fca7f4b6d5917,0x3e5aa082,54538867,54539004,54539003,1788552608,171,3,193045,5713519330,47041720
193047,25906269,1788552791,2026-09-04T20:13:11Z,0xd0eefb8a33206fccc743dda1da8a1420bbc5c4223ca9aa8d1241a315a44be3aa,0x3e5aa082,54539004,54539133,54539132,1788552621,170,3,193046,5763297080,43004100
193048,25906270,1788552803,2026-09-04T20:13:23Z,0x8eed538ef5eab9b064102a0eaaaac99b7c5b5c655043b5917b9e856d78e303ed,0x3e5aa082,54539133,54539255,54539254,1788552633,170,3,193047,5763442040,44475910
193049,25906271,1788552815,2026-09-04T20:13:35Z,0xc1ed385c2724b3fb70433a60f8dcf72c10ac793b8aa6ea7fb25735bb8a62a2d8,0x3e5aa082,54539255,54539371,54539370,1788552645,170,3,193048,5763442040,44475910
193050,25906272,1788552827,2026-09-04T20:13:47Z,0x096c37d1c34bdb9110e35fbef748269236b944c24f64fbf98eb7a692cf8faa22,0x3e5aa082,54539371,54539510,54539509,1788552660,167,3,193049,5787534530,45146120
193051,25906273,1788552839,2026-09-04T20:13:59Z,0x24755916bedd87434490b9e36ac79da2708843f938f979bf060d44f9b3b8726f,0x3e5aa082,54539510,54539656,54539655,1788552674,165,3,193050,5758092950,45826420
193052,25906274,1788552851,2026-09-04T20:14:11Z,0x9c01e3223d67247ed4fc9ee287cc6f69570e3ec129661337cdae451f84ff624b,0x3e5aa082,54539656,54539775,54539774,1788552686,165,3,193051,5758092950,45826420
193053,25906275,1788552863,2026-09-04T20:14:23Z,0x8d2bb70a90060c681919af2d9924ef18631285a05c7d78c88ca2d82b530ee958,0x3e5aa082,54539775,54539925,54539924,1788552702,161,3,193052,5752183140,45146110
193054,25906275,1788552863,2026-09-04T20:14:23Z,0x5890227f14d01cfc7558e1aac2f3130d6acdfe22e2c7550b8c188ed369ca2b6b,0x3e5aa082,54539925,54540058,54540057,1788552715,148,3,193053,5769199000,45655390
193055,25906276,1788552875,2026-09-04T20:14:35Z,0x95e42fb771c72697944ab5146c64315d8bf034b7eb17a06287a3e6498593280e,0x3e5aa082,54540058,54540175,54540174,1788552727,148,3,193054,5769199000,45655390
193056,25906277,1788552887,2026-09-04T20:14:47Z,0xb3112dcf291590b77562bbb5228b38130337d0be8173c38432d7c15f02fcb861,0x3e5aa082,54540175,54540304,54540303,1788552740,147,3,193055,5775220460,47217940
193057,25906278,1788552899,2026-09-04T20:14:59Z,0xaa99f555d3e06dda629b8aa37959cb7bf9adaaa4bc70cd735c0231f5e799fe61,0x3e5aa082,54540304,54540426,54540425,1788552752,147,3,193056,5762714590,48470140
193058,25906279,1788552911,2026-09-04T20:15:11Z,0x4f2bfd944639924090ec9bf9e12ca1842884510596b87ff24d100e7975bdd1cf,0x3e5aa082,54540426,54540555,54540554,1788552766,145,3,193057,5769451430,44475900
193059,25906280,1788552923,2026-09-04T20:15:23Z,0xcc2554dfc1f6e865fdf73ad556b060cf205dc9807ff0dcd8c7a3198399894c3c,0x3e5aa082,54540555,54540675,54540674,1788552778,145,3,193058,5769451430,44475900
193060,25906281,1788552935,2026-09-04T20:15:35Z,0x251eaafcdd7f09a96ac2e86dab575c47d16108b1a33dac000f47bf2fb9fa9e1f,0x3e5aa082,54540675,54540791,54540790,1788552790,145,3,193059,5686551980,44977620
193061,25906282,1788552947,2026-09-04T20:15:47Z,0xea29aa9a1f8ca6859d1d8e268ad49a8281075835ca49ed3686cbc5171771f487,0x3e5aa082,54540791,54540900,54540899,1788552801,146,3,193060,5713474140,41117160
193062,25906283,1788552959,2026-09-04T20:15:59Z,0xe395855634f97503ee8b3a2c67204b3c5919a2eff4069f6025a11985987a2d55,0x917cf8ac,54540900,54541053,54541052,1788552812,147,3,193061,5725313050,42683690
193063,25906284,1788552971,2026-09-04T20:16:11Z,0x2cf0daf0047fca4d234c2d7d5110bb7b7abc9a381d2ab5fec7b3e6ce6c140207,0x3e5aa082,54541053,54541168,54541167,1788552823,148,3,193062,5725313050,42683690
193064,25906284,1788552971,2026-09-04T20:16:11Z,0x8cae0b3dd8098208e3a73bc5e2d5391b48b6d001ffb362d82861e42fbe9d1cac,0x3e5aa082,54541168,54541292,54541291,1788552836,135,3,193063,5736621470,44977610
193065,25906286,1788552995,2026-09-04T20:16:35Z,0xa5c36dc173702c1acbb625b1a9aedbc1b6dd53538f0210e52d9863db6b32492d,0x3e5aa082,54541292,54541399,54541398,1788552848,147,3,193064,5760864460,46691230
193066,25906286,1788552995,2026-09-04T20:16:35Z,0x58703ecade6bb382a6f0671528f490b1f0a38cc367ad346283a3e32bdc370ce5,0x3e5aa082,54541399,54541504,54541503,1788552858,137,3,193065,5760864460,46691230
193067,25906287,1788553007,2026-09-04T20:16:47Z,0x9d41358ff8672971a21ac12fed3debf48ec5afd2dd696cb07d00c9263fa196ad,0x3e5aa082,54541504,54541619,54541618,1788552870,137,3,193066,5807155110,48289230
193068,25906288,1788553019,2026-09-04T20:16:59Z,0xeda527ee900618f95ebfbfdbff4d204f9e0e88e48fe9c511f5023952df735d6f,0x3e5aa082,54541619,54541692,54541691,1788552879,140,3,193067,5860123740,48470130
193069,25906289,1788553031,2026-09-04T20:17:11Z,0x1830a6bcae0b062cfe5876179e48a027e1ae21cbb3bb6907e6a9b70ef195dfb4,0x3e5aa082,54541692,54541785,54541784,1788552888,143,3,193068,5860123740,48470130
193070,25906290,1788553043,2026-09-04T20:17:23Z,0x0592492580a1fedf96f95a3fa3159e9d38b2f1d885c5adb924bd7487a0adb454,0x3e5aa082,54541785,54541873,54541872,1788552897,146,3,193069,5862388190,52429510
193071,25906291,1788553055,2026-09-04T20:17:35Z,0x9301e38d3fdfad435db0f2792d441fe25b7e0272394098aa535ece55a60e2215,0x3e5aa082,54541873,54541962,54541961,1788552906,149,3,193070,5847867760,53020950
193072,25906291,1788553055,2026-09-04T20:17:35Z,0xed5e40504be60c32a0abe5529ac9e6d1f6aefc34412f4a3a0856f942d1833778,0x3e5aa082,54541962,54542063,54542062,1788552917,138,3,193071,5827105130,47394810
193073,25906292,1788553067,2026-09-04T20:17:47Z,0xa68cf84882046e0f3954a2022977a2c4014a642b680d30507b0834f7a719d025,0x3e5aa082,54542063,54542174,54542173,1788552928,139,3,193072,5827105130,47394810
193074,25906293,1788553079,2026-09-04T20:17:59Z,0xb80b95c4cd86a8f0f7f2fb1d6d8b11a379b6b9a958c941dfddce98756a7d1cf2,0x3e5aa082,54542174,54542282,54542281,1788552939,140,3,193073,5784563460,49016890
193075,25906295,1788553103,2026-09-04T20:18:23Z,0x8b81b615167ffb31152a7bde7e55755827716f239d300ad0d9878cf3c4088591,0x3e5aa082,54542282,54542391,54542390,1788552950,153,3,193074,5715290970,44309900
193076,25906295,1788553103,2026-09-04T20:18:23Z,0xd5b4777fa32d4909b95af8d300dce2719bb83391478aad8dc1302e89c94d7554,0x3e5aa082,54542391,54542492,54542491,1788552960,143,3,193075,5715290970,44309900
193077,25906296,1788553115,2026-09-04T20:18:35Z,0x9e5119b22ec4166a697f06bcbff19a51a1d31f25aa49b0ccec0d1c65217b30ce,0x3e5aa082,54542492,54542609,54542608,1788552972,143,3,193076,5760052360,45484980
193078,25906297,1788553127,2026-09-04T20:18:47Z,0xd286bc5ecddec38a1ba9ed8937152e601c124843ef725b73dfda3ce98d155349,0x3e5aa082,54542609,54542732,54542731,1788552985,142,3,193077,5713550980,45484980
193079,25906298,1788553139,2026-09-04T20:18:59Z,0x186e9d94cecf34f728c490370c7737335fb0c2b7a5d78625ce1e532c3cae36fa,0x3e5aa082,54542732,54542850,54542849,1788552997,142,3,193078,5774429230,45998070
193080,25906299,1788553151,2026-09-04T20:19:11Z,0xd1b21e3911817f105fffb82650ee95f34183c886dcdb5a68bb53ae567e96fc6b,0x3e5aa082,54542850,54542971,54542970,1788553009,142,3,193079,5774429230,45998070
193081,25906300,1788553163,2026-09-04T20:19:23Z,0x874a4bbdbd77f65370d5e227b09a4b8006590435c426204d54824d47b03972b6,0x3e5aa082,54542971,54543080,54543079,1788553020,143,3,193080,5819425580,49569830
193082,25906300,1788553163,2026-09-04T20:19:23Z,0x781b6367a64476e52f8db65221a08fbc1d5ec51f0d02ee7b669dd751fbc2da75,0x3e5aa082,54543080,54543191,54543190,1788553031,132,3,193081,5789695700,50694490
193083,25906301,1788553175,2026-09-04T20:19:35Z,0xefb8031d6d4bdbbde4c3a6af1deff1a2a170ac6661b5eac2784d315a007bbd1a,0x3e5aa082,54543191,54543296,54543295,1788553042,133,3,193082,5789695700,50694490
193084,25906302,1788553187,2026-09-04T20:19:47Z,0xfccb8a50b3c070ff91243ce63aa370790653effb3c552df9e1fe7f813cd6f766,0x3e5aa082,54543296,54543404,54543403,1788553053,134,3,193083,5713366650,49569830
193085,25906303,1788553199,2026-09-04T20:19:59Z,0x8621d1f82dccee4561afe5e843725ba315c2cba617f188a932de9a7685e3f5f0,0x3e5aa082,54543404,54543543,54543542,1788553068,131,3,193084,5776597920,45315220
193086,25906304,1788553211,2026-09-04T20:20:11Z,0x5a229d8021f60c4ead8456bdb6e4761936dbc1db8e59f41243832441bdfacccb,0x3e5aa082,54543543,54543697,54543696,1788553083,128,3,193085,5732756650,47929440
193087,25906305,1788553223,2026-09-04T20:20:23Z,0xd4f8fd6d95a7bd39a9666433582544e4a135a9eb1370e3ed8712cddef31eb7d4,0x3e5aa082,54543697,54543853,54543852,1788553099,124,3,193086,5732756650,47929440
193088,25906306,1788553235,2026-09-04T20:20:35Z,0x0845f5de0571f69f908dd4a8c3062cef3f9a52cce4c7e815c92ae7b41391a723,0x3e5aa082,54543853,54543983,54543982,1788553113,122,3,193087,5715876670,43815630
193089,25906307,1788553247,2026-09-04T20:20:47Z,0xc0888ca03b5c8fb61afd70100528fa10b9440ceaefd337c452bde97f110e280d,0x3e5aa082,54543983,54544123,54544122,1788553127,120,3,193088,5763686930,44475880
193090,25906308,1788553259,2026-09-04T20:20:59Z,0x7de103e89a1c4778285b591a1a29d49cee2beaba8f040d3374c9718bf8992b20,0x3e5aa082,54544123,54544265,54544264,1788553141,118,3,193089,5763686930,44475880
193091,25906309,1788553271,2026-09-04T20:21:11Z,0x8333051b5e157ed1bc34f0a8e80b299666f096790b71d5be373019e90e10fd6b,0x3e5aa082,54544265,54544408,54544407,1788553156,115,3,193090,5778965570,46691210
193092,25906309,1788553271,2026-09-04T20:21:11Z,0x0bbf99250cc2f58b56b091385a604a2b2fca739aff915cc863539c0f59afeab1,0x3e5aa082,54544408,54544532,54544531,1788553169,102,3,193091,5752287250,42683670
193093,25906310,1788553283,2026-09-04T20:21:23Z,0x7bc7038ad820893bba293fac3fe66cc461a6135149a214f118e3a0556e36716f,0x3e5aa082,54544532,54544677,54544676,1788553183,100,3,193092,5739686050,43165170
193094,25906311,1788553295,2026-09-04T20:21:35Z,0xe661e36dbc852cf6abdc56b72296d2f2892a794ebcca06717ae1914a2ccbfe6f,0x917cf8ac,54544677,54544865,54544864,1788553199,96,3,193093,5739686050,43165170
193095,25906312,1788553307,2026-09-04T20:21:47Z,0xe3920bde7df658dabcaf2753931da00fb46fdad3294f35324ddb836201e92dd9,0x3e5aa082,54544865,54545043,54545042,1788553217,90,3,193094,5744953140,45315200
193096,25906313,1788553319,2026-09-04T20:21:59Z,0x96cdfe8b8b179d6510c5fcd2b4d13e867b52631e363ac56bb71049b8a4e9495f,0x3e5aa082,54545043,54545193,54545192,1788553233,86,3,193095,5729645880,45998060
193097,25906314,1788553331,2026-09-04T20:22:11Z,0x59276e624a7b0ce88a73e056fdc21f6063648cee9f3c31b0053f2d8e96cbfe77,0x3e5aa082,54545193,54545354,54545353,1788553249,82,3,193096,5725871430,41893070
193098,25906315,1788553343,2026-09-04T20:22:23Z,0x2f73bae910517b366d136e0b312e4e53a2bd4860d5a6a9f033aab0afe1452ef0,0x3e5aa082,54545354,54545546,54545545,1788553268,75,3,193097,5725871430,41893070
193099,25906316,1788553355,2026-09-04T20:22:35Z,0xb8e190b1897c917aca90209bbab19c949f415d143d1d3111920816d544a40571,0x3e5aa082,54545546,54545700,54545699,1788553284,71,3,193098,5708986790,44475870
193100,25906317,1788553367,2026-09-04T20:22:47Z,0x6ad116d371a7ed3eacb759f6cbf56102b0f0ef1dd5e75d4d29ba2684bc03a710,0x3e5aa082,54545700,54545872,54545871,1788553302,65,3,193099,5664962900,39312990
193101,25906318,1788553379,2026-09-04T20:22:59Z,0x0aa3e1fb76b57ebba2bf342a8a1baadd17545df435bbeb85c3bc76602cf44ffa,0x3e5aa082,54545872,54546050,54546049,1788553320,59,3,193100,5739539290,39756460
193102,25906319,1788553391,2026-09-04T20:23:11Z,0x14eeef6abf1e00f4b39b697142d40dc5683b209392bc03c19a2ba79702350ec5,0x3e5aa082,54546050,54546212,54546211,1788553336,55,3,193101,5739539290,39756460
193103,25906320,1788553403,2026-09-04T20:23:23Z,0xd140598ee3d1cb52db0b74ee238643407a16f6ac8b000109a59f277c9badecb6,0x3e5aa082,54546212,54546384,54546383,1788553354,49,3,193102,5726436090,42365650
193104,25906321,1788553415,2026-09-04T20:23:35Z,0xae67e13750c163190a61f138178e91396ad1b1fc6c7212c8d6eae1f27f08efe6,0x3e5aa082,54546384,54546537,54546536,1788553369,46,3,193103,5670719350,43004050
193105,25906321,1788553415,2026-09-04T20:23:35Z,0x31426ebaa2001ff4bd8e5c30f75400b64bd32b767a5bda43071b4840aa3e315c,0x3e5aa082,54546537,54546702,54546701,1788553386,29,3,193104,5754522920,39312990
193106,25906322,1788553427,2026-09-04T20:23:47Z,0xc4d631a737cedc24be1d7ed138a25e1db6c8ddf8abbc8ba9d6ce55042b9330f2,0x3e5aa082,54546702,54546858,54546857,1788553402,25,3,193105,5754522920,39312990
193107,25906323,1788553439,2026-09-04T20:23:59Z,0xb06d1d6891c0085adfd75861dce72ada59dcd3e85b2380ae756cf65479db6cb2,0x3e5aa082,54546858,54547022,54547021,1788553418,21,3,193106,5736690420,40658470
193108,25906324,1788553451,2026-09-04T20:24:11Z,0x1fc73f3c4449015393272313ec4b9a0f74d11f5ef2140e10bb41110f9905e0b5,0x3e5aa082,54547022,54547197,54547196,1788553436,15,3,193107,5709595070,43165150
193109,25906327,1788553487,2026-09-04T20:24:47Z,0xb2f2b9283fa9c6ca2d01880135f755cc77cb30460ea61cfe8de9e8864ac64fc2,0x3e5aa082,54547197,54547473,54547472,1788553464,23,3,193108,5719418270,38584830
193110,25906329,1788553511,2026-09-04T20:25:11Z,0x498dd35e4b2221aa754b4d04665b0b52245c1c1b73a0616f12690b4ae73dddf1,0x3e5aa082,54547473,54547717,54547716,1788553489,22,3,193109,5774525640,40658460
193111,25906330,1788553523,2026-09-04T20:25:23Z,0x54b1dbc430056b239e622db879f1275642ef4163fbfdea0492e94dd01d9591d3,0x3e5aa082,54547717,54547823,54547822,1788553500,23,3,193110,5774525640,40658460
193112,25906331,1788553535,2026-09-04T20:25:35Z,0x274178baf8d9aa2960bcef3aeef9e568b56522aa99a60df594fa214066fbfd81,0x3e5aa082,54547823,54547918,54547917,1788553510,25,3,193111,5790517090,40963660
193113,25906332,1788553547,2026-09-04T20:25:47Z,0x99ed5d0563fcb1c44d0d2a34c7a3a663dc42c8af7b724d5e542515a736dd47b1,0x3e5aa082,54547918,54548021,54548020,1788553521,26,3,193112,5810682430,42365640
193114,25906333,1788553559,2026-09-04T20:25:59Z,0x24163424e3af99da3986dc87983ed5b43ec134dd9456eadbcd66fbdb19daece0,0x3e5aa082,54548021,54548122,54548121,1788553531,28,3,193113,5793540630,42843550
193115,25906334,1788553571,2026-09-04T20:26:11Z,0x801f1049952a67ecc8dce3591e8503dd29a9653db1806c3af112ccdbe75e6e27,0x3e5aa082,54548122,54548214,54548213,1788553541,30,3,193114,5793540630,42843550
193116,25906335,1788553583,2026-09-04T20:26:23Z,0x43014e98544bed1a37d50f5a03b10bf5f2b461b57ebad84e4a7367c407517435,0x3e5aa082,54548214,54548306,54548305,1788553550,33,3,193115,5791347380,44977570
193117,25906335,1788553583,2026-09-04T20:26:23Z,0x1eff70348b5595733a3457ac9018fe8dbbaa93906aed48c85502316b10b52cf2,0x3e5aa082,54548306,54548402,54548401,1788553560,23,3,193116,5815678620,46343310
193118,25906336,1788553595,2026-09-04T20:26:35Z,0xab16bf590f6cca7e8d404e1050d4c6dcddbf2a642d2cc9a19ddfbdad666de449,0x917cf8ac,54548402,54548552,54548551,1788553571,24,3,193117,5815678620,46343310
193119,25906337,1788553607,2026-09-04T20:26:47Z,0x5a4a02c2af2465fc9ad07ba03e56c5599ea9ee2aabf2897383248fbf39bde66a,0x3e5aa082,54548552,54548672,54548671,1788553583,24,3,193118,5838572980,46866090
193120,25906338,1788553619,2026-09-04T20:26:59Z,0x92102c08d60d29077e198f2d1219d525105afebf2644733641555603032a4a76,0x3e5aa082,54548672,54548803,54548802,1788553597,22,3,193119,5820617930,51266310
