l1_timestamp,l1_time_utc,posting_delay_newest_s,messages_in_batch,batch_sequence,max_fee_per_blob_gas_wei,max_fee_per_gas_wei,blobs,nonce
1788535715,2026-09-04T15:28:35Z,267,179,191672,206801660,3653504630,3,
1788535835,2026-09-04T15:30:35Z,295,99,191679,207576300,3472732170,3,
1788535955,2026-09-04T15:32:35Z,291,88,191688,223694610,3474018550,3,
1788536075,2026-09-04T15:34:35Z,278,144,191696,183480240,2952858880,3,
1788536207,2026-09-04T15:36:47Z,349,63,191703,163398740,2452354400,3,
1788536327,2026-09-04T15:38:47Z,268,103,191720,141755810,2501523940,3,
1788536447,2026-09-04T15:40:47Z,286,128,191729,100119590,1877982940,3,
1788536567,2026-09-04T15:42:47Z,240,129,191741,119802450,2117712290,3,
1788536699,2026-09-04T15:44:59Z,267,136,191749,118023920,1912718230,3,
1788536819,2026-09-04T15:46:59Z,266,104,191757,113267980,1835196410,3,
1788536939,2026-09-04T15:48:59Z,294,162,191764,93953430,1473340080,3,
1788537071,2026-09-04T15:51:11Z,287,129,191772,105106410,1714506380,3,
1788537191,2026-09-04T15:53:11Z,311,128,191780,112845180,1737719790,3,
1788537311,2026-09-04T15:55:11Z,314,118,191790,95013220,1577432130,3,
1788537431,2026-09-04T15:57:11Z,276,109,191804,83670380,1416599580,3,
1788537551,2026-09-04T15:59:11Z,263,85,191817,78224290,1362147640,3,
1788537671,2026-09-04T16:01:11Z,254,111,191826,66606150,1272728680,3,
1788537791,2026-09-04T16:03:11Z,281,128,191835,74234710,1409939620,3,
1788537911,2026-09-04T16:05:11Z,306,102,191844,87510090,1493928120,3,
1788538031,2026-09-04T16:07:11Z,290,102,191854,99745690,1601444130,3,
1788538151,2026-09-04T16:09:11Z,253,111,191866,93953250,1547611370,3,
1788538319,2026-09-04T16:11:59Z,350,138,191872,85568610,1561846570,3,
1788538439,2026-09-04T16:13:59Z,295,177,191885,86210900,1722505820,3,
1788538559,2026-09-04T16:15:59Z,283,128,191895,110341460,1970251800,3,
1788538679,2026-09-04T16:17:59Z,285,123,191905,114545360,1939324400,3,
1788538799,2026-09-04T16:19:59Z,285,118,191915,92905120,1616439490,3,
1788538919,2026-09-04T16:21:59Z,281,121,191925,97168660,1590692270,3,
1788539051,2026-09-04T16:24:11Z,270,123,191938,86210800,1337105370,3,
1788539171,2026-09-04T16:26:11Z,279,121,191946,81508580,1221083210,3,
1788539291,2026-09-04T16:28:11Z,265,165,191955,81204360,1257675370,3,
1788539471,2026-09-04T16:31:11Z,337,153,191963,71777920,1184209960,3,
1788539603,2026-09-04T16:33:23Z,315,143,191973,80599320,1443921710,3,
1788539747,2026-09-04T16:35:47Z,358,145,191979,81813850,1386480230,3,
1788539867,2026-09-04T16:37:47Z,332,124,191991,74512560,1280569580,3,
1788539999,2026-09-04T16:39:59Z,301,116,191999,70712290,1278274080,3,
1788540119,2026-09-04T16:41:59Z,357,150,192005,76488570,1220281500,3,
1788540239,2026-09-04T16:43:59Z,329,112,192017,73681360,1251147370,3,
1788540371,2026-09-04T16:46:11Z,322,111,192029,66357290,1154735760,3,
1788540491,2026-09-04T16:48:11Z,277,91,192043,78811110,1434633700,3,
1788540611,2026-09-04T16:50:11Z,290,123,192052,76488530,1564937110,3,
1788540743,2026-09-04T16:52:23Z,277,136,192063,76488510,1465776260,3,
1788540863,2026-09-04T16:54:23Z,299,93,192072,90843760,1487973980,3,
1788540983,2026-09-04T16:56:23Z,271,101,192085,91184070,1567947920,3,
1788541103,2026-09-04T16:58:23Z,244,128,192096,69662470,1214643460,3,
1788541223,2026-09-04T17:00:23Z,248,141,192104,70712200,1148191720,3,
1788541343,2026-09-04T17:02:23Z,262,147,192112,55248130,1207782610,3,
1788541463,2026-09-04T17:04:23Z,271,144,192120,75918580,1273009520,3,
1788541595,2026-09-04T17:06:35Z,298,149,192129,76202970,1292643540,3,
1788541715,2026-09-04T17:08:35Z,288,144,192138,68885340,1235328950,3,
1788541835,2026-09-04T17:10:35Z,296,136,192146,69402400,1317645220,3,
1788541955,2026-09-04T17:12:35Z,302,110,192155,79998570,1341976270,3,
1788542075,2026-09-04T17:14:35Z,293,126,192165,69923330,1244612200,3,
1788542195,2026-09-04T17:16:35Z,289,122,192175,68372060,1168104560,3,
