block,block_timestamp,block_time_utc,observations_timestamp,inclusion_delay_s,aggregator,transmitter,tx_hash
53402750,1788437009,2026-09-03T12:03:29Z,1788436996,13,0x7a6b81ba7fbcb90104d8c496158cf383cd7233b1,0x4af41cd301e74b05410df9f6b5fc3d99ddce7cd5,0x58cb4ac9aa1b1530e0e9980e6a4574d4157fd1819db2dbd68d338b6c15f7a44a
53407133,1788437464,2026-09-03T12:11:04Z,1788437451,13,0xc5845f87ad59a7a3d4bf9b90a0c19dba38475eec,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0xc958e4fa9cadc44f1a3516a78486fadcf3247ebf65f33414b55f2940319ce038
53407357,1788437487,2026-09-03T12:11:27Z,1788437474,13,0x55bd01f666c99e4590e084fdeff88041bb50ccd1,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x55f23383a257b721d5efca8c30349a32ec66449dc7ea24d79576fa22aaf0868d
53408270,1788437581,2026-09-03T12:13:01Z,1788437569,12,0x815d23392a48bee944c872cbbb4bc47691ef710f,0x74d14b5e642ea3331c88bcc72649997f447a7a5f,0xaa63711e150c9e7ed0cad45795a2c98a624e7d88ad29ceb23e1501e3b4ea5bb3
53408746,1788437628,2026-09-03T12:13:48Z,1788437616,12,0xf795030a46ad6ca4b07bf5fb704dc36039118c9f,0x5d4faed290f0422c7b33586aa772d81785a01d7c,0xf979f551b277646831ecaa4e5d68f44f7493b59f866296110ab4a5c3f99f7fd3
53409159,1788437671,2026-09-03T12:14:31Z,1788437659,12,0x815d23392a48bee944c872cbbb4bc47691ef710f,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0xfea60be7562417edc970b306cdec8c5bc4bd075d06f717c68ef6210665572782
53409636,1788437721,2026-09-03T12:15:21Z,1788437708,13,0xd6fe4540bdf692cbe147fe19f75f9fd542d733bd,0x4af41cd301e74b05410df9f6b5fc3d99ddce7cd5,0x5378ba9f353208200c7cc59839b3da2805a78475ba9cc3893c04ec8817f4ec9a
53410206,1788437780,2026-09-03T12:16:20Z,1788437767,13,0xe50c4775fefc1e3c9206771dd0056aee30f51b2f,0x5d4faed290f0422c7b33586aa772d81785a01d7c,0xe4c139d962a2bdbc79bd855809788279d72942c5e882f3751997fc51f8765d25
53410287,1788437788,2026-09-03T12:16:28Z,1788437776,12,0xa6ac45e27d19f91c55109191d71cfba4a9f5fbe1,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x193ddfe6e517589751e72d4973e330e4c8ea7f36991e6179f2c6d58c95235f86
53410305,1788437790,2026-09-03T12:16:30Z,1788437778,12,0x145db0a26222934d32a0bd539863158afb5ee30b,0x67a2da43031e8876acc515a21cb0d95648efd807,0xc86af4abd0b86b9f6378d9be61c5a73dfa79d3b26d80672c326de6fb7b6dd11d
53410349,1788437795,2026-09-03T12:16:35Z,1788437782,13,0x983f726bf320cdc1fdae041dba782cd08a55842f,0x83b351d4ed8de251ccf65fd44b42d27c41b5d8a6,0x82c0d46d272fa1fa8d93b713a002f8735bc402f7c8ce105fa1fc55ebe74baf3f
53413777,1788438152,2026-09-03T12:22:32Z,1788438139,13,0x815d23392a48bee944c872cbbb4bc47691ef710f,0x67a2da43031e8876acc515a21cb0d95648efd807,0x8b95a70e398a95f78693042179eae306824497fbebcab4f5fc83ace645a879f1
53418335,1788438620,2026-09-03T12:30:20Z,1788438608,12,0xe50c4775fefc1e3c9206771dd0056aee30f51b2f,0x74d14b5e642ea3331c88bcc72649997f447a7a5f,0x113d0717d5109fd73b635e3f47af469fd697154dd4a8669cf1167929c83d81b7
53418360,1788438623,2026-09-03T12:30:23Z,1788438610,13,0xcdf6f7043b3af6afa0caaace1230b355096b5386,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x570d0d7c036cf202a1f865387ab47accce5aedca2e15a10ff6194f1b4251a972
53418456,1788438633,2026-09-03T12:30:33Z,1788438620,13,0xc3b117f52cf17dd4369eaf5eaf7cf0e2f91b4e30,0x1dd2dea254a9b9244d2de4139042c65ab9ecdaae,0xe1fa21062957994f6ea25f507464ee37a5cbc6318990432d92785fc7f5070026
53418509,1788438638,2026-09-03T12:30:38Z,1788438625,13,0xc9d16e4f2569b9e3ea0468fd85844953713dc2a2,0xbe328e128835dae56a42f1e67de4a0daeec61a5f,0xcfa44ac79c5e313e33d9850cc080fffd8b8a5b3693351821d9afc1a6f33aba5a
53418550,1788438642,2026-09-03T12:30:42Z,1788438630,12,0x30398b0b0df82a009bb2d507bc7fe1dc6d3ca294,0x5d4faed290f0422c7b33586aa772d81785a01d7c,0x8d11040fdfe515f069bcc627384b42386a51da761e56cfe4b4a6861354272cb6
53418879,1788438676,2026-09-03T12:31:16Z,1788438664,12,0xfaa5fda549575e3b602ad70e4bd8020a28387f96,0x1dd2dea254a9b9244d2de4139042c65ab9ecdaae,0xc18e1c6d56ba225036c5ebb1618f65b585a123f6aff815882c8e66917f1dca69
53418885,1788438677,2026-09-03T12:31:17Z,1788438664,13,0x901d8df245e48dfc82d6483fc45b5be6ddc5281a,0x74d14b5e642ea3331c88bcc72649997f447a7a5f,0xf81f11003a0b1bd2ba180677a40fa4d1f8091c3a8fd3dd9ee4d467a92c446ae9
53419070,1788438696,2026-09-03T12:31:36Z,1788438683,13,0x42b1c5174ce84be751a23489d7dbdc969bc17ea2,0x2df4c8f0095d7323a1521ce82fbf21629fdba7df,0x5f8b5d259d7901234ea0474b1fa4f31f690fe5bebb2a1d714c2f02c1a434577a
