block,timestamp,time_utc,gas_used,tx_count_incl_arbos_internal
55121000,1788611314,2026-09-05T12:28:34Z,506551,4
55121030,1788611317,2026-09-05T12:28:37Z,2289869,11
55121060,1788611320,2026-09-05T12:28:40Z,700074,7
55121090,1788611323,2026-09-05T12:28:43Z,5378648,28
55121120,1788611327,2026-09-05T12:28:47Z,608254,7
55121150,1788611330,2026-09-05T12:28:50Z,1122237,7
55121180,1788611333,2026-09-05T12:28:53Z,1117463,8
55121210,1788611336,2026-09-05T12:28:56Z,1169168,5
55121240,1788611339,2026-09-05T12:28:59Z,1653154,7
55121270,1788611342,2026-09-05T12:29:02Z,990716,11
55121300,1788611345,2026-09-05T12:29:05Z,1818588,12
55121330,1788611348,2026-09-05T12:29:08Z,1198458,9
55121360,1788611351,2026-09-05T12:29:11Z,3406264,14
55121390,1788611354,2026-09-05T12:29:14Z,2584035,17
55121420,1788611357,2026-09-05T12:29:17Z,1829929,11
55121450,1788611360,2026-09-05T12:29:20Z,3555240,16
55121480,1788611363,2026-09-05T12:29:23Z,1597376,8
55121510,1788611366,2026-09-05T12:29:26Z,2503225,17
55121540,1788611369,2026-09-05T12:29:29Z,2835805,9
55121570,1788611372,2026-09-05T12:29:32Z,1960823,9
55121600,1788611375,2026-09-05T12:29:35Z,1832856,8
55121630,1788611378,2026-09-05T12:29:38Z,1710657,10
55121660,1788611381,2026-09-05T12:29:41Z,2343266,13
55121690,1788611384,2026-09-05T12:29:44Z,3844112,19
55121720,1788611387,2026-09-05T12:29:47Z,1892876,5
55121750,1788611390,2026-09-05T12:29:50Z,2168011,12
55121780,1788611393,2026-09-05T12:29:53Z,2760679,9
55121810,1788611396,2026-09-05T12:29:56Z,1782221,11
55121840,1788611399,2026-09-05T12:29:59Z,2890176,10
55121870,1788611403,2026-09-05T12:30:03Z,2838224,12
55121900,1788611406,2026-09-05T12:30:06Z,2969378,12
55121930,1788611409,2026-09-05T12:30:09Z,6977116,16
55121960,1788611412,2026-09-05T12:30:12Z,3484902,10
55121990,1788611415,2026-09-05T12:30:15Z,1518747,9
55122020,1788611418,2026-09-05T12:30:18Z,4284342,16
55122050,1788611421,2026-09-05T12:30:21Z,3698502,24
55122080,1788611424,2026-09-05T12:30:24Z,2453913,10
55122110,1788611427,2026-09-05T12:30:27Z,3715439,11
55122140,1788611430,2026-09-05T12:30:30Z,1817369,7
55122170,1788611433,2026-09-05T12:30:33Z,4492396,22
55122200,1788611436,2026-09-05T12:30:36Z,2481300,12
55122230,1788611439,2026-09-05T12:30:39Z,4436126,14
55122260,1788611442,2026-09-05T12:30:42Z,1862597,9
55122290,1788611445,2026-09-05T12:30:45Z,3098215,13
55122320,1788611448,2026-09-05T12:30:48Z,1216347,13
55122350,1788611451,2026-09-05T12:30:51Z,2704552,9
55122380,1788611455,2026-09-05T12:30:55Z,7471363,61
55122410,1788611458,2026-09-05T12:30:58Z,5692263,14
55122440,1788611461,2026-09-05T12:31:01Z,406083,5
55122470,1788611464,2026-09-05T12:31:04Z,4739872,21
55122500,1788611467,2026-09-05T12:31:07Z,1995239,8
55122530,1788611470,2026-09-05T12:31:10Z,2182672,13
55122560,1788611473,2026-09-05T12:31:13Z,5793438,18
55122590,1788611476,2026-09-05T12:31:16Z,2148437,8
55122620,1788611479,2026-09-05T12:31:19Z,3582029,19
55122650,1788611482,2026-09-05T12:31:22Z,2104002,13
55122680,1788611486,2026-09-05T12:31:26Z,1941251,12
55122710,1788611489,2026-09-05T12:31:29Z,4197144,17
55122740,1788611492,2026-09-05T12:31:32Z,8438070,24
55122770,1788611495,2026-09-05T12:31:35Z,1954889,10
55122800,1788611498,2026-09-05T12:31:38Z,4212420,16
55122830,1788611501,2026-09-05T12:31:41Z,4493075,22
55122860,1788611504,2026-09-05T12:31:44Z,2859521,9
55122890,1788611507,2026-09-05T12:31:47Z,1521459,9
55122920,1788611510,2026-09-05T12:31:50Z,3826572,12
55122950,1788611513,2026-09-05T12:31:53Z,2872675,10
55122980,1788611516,2026-09-05T12:31:56Z,5189725,9
55123010,1788611519,2026-09-05T12:31:59Z,4231267,18
55123040,1788611522,2026-09-05T12:32:02Z,2141968,10
55123070,1788611525,2026-09-05T12:32:05Z,1695413,7
55123100,1788611528,2026-09-05T12:32:08Z,5835877,12
55123130,1788611531,2026-09-05T12:32:11Z,1231764,8
55123160,1788611534,2026-09-05T12:32:14Z,3373535,14
55123190,1788611537,2026-09-05T12:32:17Z,4825069,14
55123220,1788611540,2026-09-05T12:32:20Z,2335627,10
55123250,1788611543,2026-09-05T12:32:23Z,1320746,7
55123280,1788611546,2026-09-05T12:32:26Z,1512329,10
55123310,1788611549,2026-09-05T12:32:29Z,2770854,14
55123340,1788611552,2026-09-05T12:32:32Z,1580352,9
55123370,1788611555,2026-09-05T12:32:35Z,1223299,7
55123400,1788611558,2026-09-05T12:32:38Z,5457448,13
55123430,1788611561,2026-09-05T12:32:41Z,969415,6
55123460,1788611564,2026-09-05T12:32:44Z,0,2
55123490,1788611565,2026-09-05T12:32:45Z,2494772,7
55123520,1788611568,2026-09-05T12:32:48Z,883904,6
55123550,1788611571,2026-09-05T12:32:51Z,7537874,11
55123580,1788611574,2026-09-05T12:32:54Z,2991874,15
55123610,1788611577,2026-09-05T12:32:57Z,8509562,41
55123640,1788611581,2026-09-05T12:33:01Z,2753922,15
55123670,1788611584,2026-09-05T12:33:04Z,3006521,14
55123700,1788611587,2026-09-05T12:33:07Z,851880,5
55123730,1788611590,2026-09-05T12:33:10Z,2439553,13
55123760,1788611593,2026-09-05T12:33:13Z,4388779,25
55123790,1788611596,2026-09-05T12:33:16Z,2572430,15
55123820,1788611599,2026-09-05T12:33:19Z,2360054,7
55123850,1788611602,2026-09-05T12:33:22Z,5125980,10
55123880,1788611605,2026-09-05T12:33:25Z,3693848,10
55123910,1788611608,2026-09-05T12:33:28Z,2336839,10
55123940,1788611611,2026-09-05T12:33:31Z,3275974,16
55123970,1788611614,2026-09-05T12:33:34Z,1209027,8
55124000,1788611617,2026-09-05T12:33:37Z,790913,8
55124030,1788611620,2026-09-05T12:33:40Z,1430322,11
55124060,1788611623,2026-09-05T12:33:43Z,2554898,9
55124090,1788611626,2026-09-05T12:33:46Z,2191051,11
55124120,1788611629,2026-09-05T12:33:49Z,2061103,9
55124150,1788611632,2026-09-05T12:33:52Z,2500529,14
55124180,1788611635,2026-09-05T12:33:55Z,2473725,13
55124210,1788611638,2026-09-05T12:33:58Z,1848107,8
55124240,1788611641,2026-09-05T12:34:01Z,1686398,10
55124270,1788611644,2026-09-05T12:34:04Z,1059192,7
55124300,1788611647,2026-09-05T12:34:07Z,1800912,11
55124330,1788611650,2026-09-05T12:34:10Z,838014,5
55124360,1788611653,2026-09-05T12:34:13Z,646477,4
55124390,1788611656,2026-09-05T12:34:16Z,3404648,13
55124420,1788611659,2026-09-05T12:34:19Z,3907743,12
55124450,1788611663,2026-09-05T12:34:23Z,4784308,33
55124480,1788611666,2026-09-05T12:34:26Z,1616607,8
55124510,1788611669,2026-09-05T12:34:29Z,2458881,9
55124540,1788611672,2026-09-05T12:34:32Z,1444912,7
55124570,1788611675,2026-09-05T12:34:35Z,2461698,12
55124600,1788611678,2026-09-05T12:34:38Z,1435877,13
55124630,1788611681,2026-09-05T12:34:41Z,3128644,14
55124660,1788611684,2026-09-05T12:34:44Z,5512785,12
55124690,1788611687,2026-09-05T12:34:47Z,1856560,8
55124720,1788611690,2026-09-05T12:34:50Z,5720913,23
55124750,1788611693,2026-09-05T12:34:53Z,1994623,9
55124780,1788611696,2026-09-05T12:34:56Z,1930096,9
55124810,1788611699,2026-09-05T12:34:59Z,2116421,9
55124840,1788611702,2026-09-05T12:35:02Z,3297820,12
55124870,1788611705,2026-09-05T12:35:05Z,3386955,9
55124900,1788611708,2026-09-05T12:35:08Z,966086,6
55124930,1788611711,2026-09-05T12:35:11Z,3250041,16
55124960,1788611714,2026-09-05T12:35:14Z,1301959,7
55124990,1788611717,2026-09-05T12:35:17Z,2005018,8
55125020,1788611720,2026-09-05T12:35:20Z,1096032,7
55125050,1788611723,2026-09-05T12:35:23Z,2562754,10
55125080,1788611726,2026-09-05T12:35:26Z,5315879,48
55125110,1788611729,2026-09-05T12:35:29Z,5639747,72
55125140,1788611732,2026-09-05T12:35:32Z,2366540,14
55125170,1788611735,2026-09-05T12:35:35Z,1513212,8
55125200,1788611738,2026-09-05T12:35:38Z,2841269,17
55125230,1788611741,2026-09-05T12:35:41Z,4391426,11
55125260,1788611744,2026-09-05T12:35:44Z,2759272,22
55125290,1788611747,2026-09-05T12:35:47Z,3155596,13
55125320,1788611750,2026-09-05T12:35:50Z,1665930,5
55125350,1788611754,2026-09-05T12:35:54Z,8526348,24
55125380,1788611757,2026-09-05T12:35:57Z,3334073,14
55125410,1788611760,2026-09-05T12:36:00Z,3058982,11
55125440,1788611763,2026-09-05T12:36:03Z,4121048,15
55125470,1788611766,2026-09-05T12:36:06Z,3779334,12
55125500,1788611769,2026-09-05T12:36:09Z,2172895,12
55125530,1788611772,2026-09-05T12:36:12Z,987566,7
55125560,1788611775,2026-09-05T12:36:15Z,2896440,17
55125590,1788611778,2026-09-05T12:36:18Z,3792065,12
55125620,1788611781,2026-09-05T12:36:21Z,2865593,13
55125650,1788611784,2026-09-05T12:36:24Z,1460615,6
55125680,1788611787,2026-09-05T12:36:27Z,2022488,10
55125710,1788611790,2026-09-05T12:36:30Z,5254324,14
55125740,1788611793,2026-09-05T12:36:33Z,2562811,8
55125770,1788611796,2026-09-05T12:36:36Z,1587857,11
55125800,1788611799,2026-09-05T12:36:39Z,2525831,10
55125830,1788611802,2026-09-05T12:36:42Z,3558433,20
55125860,1788611805,2026-09-05T12:36:45Z,4589301,32
55125890,1788611808,2026-09-05T12:36:48Z,1703011,11
55125920,1788611811,2026-09-05T12:36:51Z,2464008,15
55125950,1788611814,2026-09-05T12:36:54Z,1591947,12
55125980,1788611817,2026-09-05T12:36:57Z,2829823,11
55126010,1788611820,2026-09-05T12:37:00Z,2823254,22
55126040,1788611824,2026-09-05T12:37:04Z,2301703,14
55126070,1788611827,2026-09-05T12:37:07Z,3949126,16
55126100,1788611830,2026-09-05T12:37:10Z,2417511,10
55126130,1788611833,2026-09-05T12:37:13Z,4020105,10
55126160,1788611836,2026-09-05T12:37:16Z,2048172,10
55126190,1788611839,2026-09-05T12:37:19Z,8511113,12
55126220,1788611842,2026-09-05T12:37:22Z,5057058,23
55126250,1788611845,2026-09-05T12:37:25Z,6452009,24
55126280,1788611848,2026-09-05T12:37:28Z,8099491,13
55126310,1788611851,2026-09-05T12:37:31Z,3911439,13
55126340,1788611854,2026-09-05T12:37:34Z,2071938,9
55126370,1788611857,2026-09-05T12:37:37Z,3292699,9
55126400,1788611860,2026-09-05T12:37:40Z,1355382,8
55126430,1788611863,2026-09-05T12:37:43Z,2722914,16
55126460,1788611866,2026-09-05T12:37:46Z,3457489,17
55126490,1788611869,2026-09-05T12:37:49Z,2924688,23
55126520,1788611872,2026-09-05T12:37:52Z,1158333,10
55126550,1788611875,2026-09-05T12:37:55Z,2617336,14
55126580,1788611878,2026-09-05T12:37:58Z,1893223,10
55126610,1788611881,2026-09-05T12:38:01Z,5752482,11
55126640,1788611884,2026-09-05T12:38:04Z,1661906,13
55126670,1788611887,2026-09-05T12:38:07Z,2821187,12
55126700,1788611890,2026-09-05T12:38:10Z,1741170,8
55126730,1788611894,2026-09-05T12:38:14Z,1955481,8
55126760,1788611897,2026-09-05T12:38:17Z,779936,5
55126790,1788611900,2026-09-05T12:38:20Z,826705,5
55126820,1788611903,2026-09-05T12:38:23Z,1994015,9
55126850,1788611906,2026-09-05T12:38:26Z,3143024,12
55126880,1788611909,2026-09-05T12:38:29Z,3228143,15
55126910,1788611912,2026-09-05T12:38:32Z,1891711,9
55126940,1788611915,2026-09-05T12:38:35Z,403490,9
55126970,1788611918,2026-09-05T12:38:38Z,4867173,11
55127000,1788611921,2026-09-05T12:38:41Z,4338059,21
55127030,1788611924,2026-09-05T12:38:44Z,3381100,15
55127060,1788611927,2026-09-05T12:38:47Z,1899559,9
55127090,1788611930,2026-09-05T12:38:50Z,997749,10
55127120,1788611933,2026-09-05T12:38:53Z,2507424,16
55127150,1788611936,2026-09-05T12:38:56Z,1850770,12
55127180,1788611939,2026-09-05T12:38:59Z,0,2
55127210,1788611940,2026-09-05T12:39:00Z,2737596,7
55127240,1788611943,2026-09-05T12:39:03Z,3029693,13
55127270,1788611946,2026-09-05T12:39:06Z,2800741,11
55127300,1788611949,2026-09-05T12:39:09Z,6011619,12
55127330,1788611952,2026-09-05T12:39:12Z,661179,4
55127360,1788611955,2026-09-05T12:39:15Z,3037297,12
55127390,1788611958,2026-09-05T12:39:18Z,1333306,7
55127420,1788611961,2026-09-05T12:39:21Z,2210871,15
55127450,1788611964,2026-09-05T12:39:24Z,2040247,7
55127480,1788611967,2026-09-05T12:39:27Z,7061516,17
55127510,1788611970,2026-09-05T12:39:30Z,1888669,11
55127540,1788611973,2026-09-05T12:39:33Z,1482008,7
55127570,1788611976,2026-09-05T12:39:36Z,1836640,5
55127600,1788611979,2026-09-05T12:39:39Z,827779,6
