block,timestamp,time_utc,gas_used,tx_count_incl_arbos_internal
53410000,1788437758,2026-09-03T12:15:58Z,2099597,10
53410030,1788437761,2026-09-03T12:16:01Z,3878034,14
53410060,1788437765,2026-09-03T12:16:05Z,5532595,15
53410090,1788437768,2026-09-03T12:16:08Z,5269605,26
53410120,1788437771,2026-09-03T12:16:11Z,2124583,6
53410150,1788437774,2026-09-03T12:16:14Z,3715920,11
53410180,1788437777,2026-09-03T12:16:17Z,5560987,17
53410210,1788437780,2026-09-03T12:16:20Z,3847461,10
53410240,1788437783,2026-09-03T12:16:23Z,2958439,15
53410270,1788437787,2026-09-03T12:16:27Z,1666441,8
53410300,1788437790,2026-09-03T12:16:30Z,2180776,17
53410330,1788437793,2026-09-03T12:16:33Z,2873779,11
53410360,1788437796,2026-09-03T12:16:36Z,3593939,15
53410390,1788437799,2026-09-03T12:16:39Z,10235368,12
53410420,1788437802,2026-09-03T12:16:42Z,866289,7
53410450,1788437805,2026-09-03T12:16:45Z,2533887,12
53410480,1788437809,2026-09-03T12:16:49Z,3297064,8
53410510,1788437812,2026-09-03T12:16:52Z,764941,7
53410540,1788437815,2026-09-03T12:16:55Z,7213472,14
53410570,1788437818,2026-09-03T12:16:58Z,5650506,25
53410600,1788437821,2026-09-03T12:17:01Z,3355743,15
53410630,1788437825,2026-09-03T12:17:05Z,5079252,25
53410660,1788437828,2026-09-03T12:17:08Z,3593646,16
53410690,1788437831,2026-09-03T12:17:11Z,5352257,13
53410720,1788437834,2026-09-03T12:17:14Z,4729842,20
53410750,1788437839,2026-09-03T12:17:19Z,1838024,11
53410780,1788437842,2026-09-03T12:17:22Z,2047701,13
53410810,1788437846,2026-09-03T12:17:26Z,2634007,10
53410840,1788437849,2026-09-03T12:17:29Z,3402005,14
53410870,1788437852,2026-09-03T12:17:32Z,6420614,13
53410900,1788437855,2026-09-03T12:17:35Z,4765500,26
53410930,1788437858,2026-09-03T12:17:38Z,5881764,31
53410960,1788437861,2026-09-03T12:17:41Z,4760998,19
53410990,1788437864,2026-09-03T12:17:44Z,3508873,17
53411020,1788437868,2026-09-03T12:17:48Z,3186371,11
53411050,1788437871,2026-09-03T12:17:51Z,6911373,17
53411080,1788437874,2026-09-03T12:17:54Z,2613214,16
53411110,1788437877,2026-09-03T12:17:57Z,2560469,10
53411140,1788437880,2026-09-03T12:18:00Z,6014511,17
53411170,1788437884,2026-09-03T12:18:04Z,4126784,17
53411200,1788437887,2026-09-03T12:18:07Z,1929499,15
53411230,1788437890,2026-09-03T12:18:10Z,3156161,15
53411260,1788437893,2026-09-03T12:18:13Z,2414865,16
53411290,1788437896,2026-09-03T12:18:16Z,2198572,9
53411320,1788437899,2026-09-03T12:18:19Z,10087632,27
53411350,1788437902,2026-09-03T12:18:22Z,1757866,10
53411380,1788437906,2026-09-03T12:18:26Z,3104574,12
53411410,1788437909,2026-09-03T12:18:29Z,4284832,11
53411440,1788437912,2026-09-03T12:18:32Z,6984826,37
53411470,1788437915,2026-09-03T12:18:35Z,9360737,12
53411500,1788437918,2026-09-03T12:18:38Z,1345108,8
53411530,1788437921,2026-09-03T12:18:41Z,1911559,13
53411560,1788437924,2026-09-03T12:18:44Z,3660082,14
53411590,1788437927,2026-09-03T12:18:47Z,5115298,14
53411620,1788437930,2026-09-03T12:18:50Z,3669234,8
53411650,1788437933,2026-09-03T12:18:53Z,3091735,10
53411680,1788437937,2026-09-03T12:18:57Z,1478168,11
53411710,1788437940,2026-09-03T12:19:00Z,2103090,7
53411740,1788437943,2026-09-03T12:19:03Z,2774994,8
53411770,1788437946,2026-09-03T12:19:06Z,5424939,20
53411800,1788437949,2026-09-03T12:19:09Z,3237411,11
53411830,1788437952,2026-09-03T12:19:12Z,3914429,14
53411860,1788437955,2026-09-03T12:19:15Z,6320096,24
53411890,1788437958,2026-09-03T12:19:18Z,1517975,8
53411920,1788437961,2026-09-03T12:19:21Z,2379358,14
53411950,1788437964,2026-09-03T12:19:24Z,3459800,18
53411980,1788437968,2026-09-03T12:19:28Z,6171124,14
53412010,1788437971,2026-09-03T12:19:31Z,2255668,16
53412040,1788437974,2026-09-03T12:19:34Z,2237643,9
53412070,1788437977,2026-09-03T12:19:37Z,2017408,12
53412100,1788437980,2026-09-03T12:19:40Z,5101805,24
53412130,1788437983,2026-09-03T12:19:43Z,5968603,18
53412160,1788437986,2026-09-03T12:19:46Z,2006945,13
53412190,1788437989,2026-09-03T12:19:49Z,1822605,9
