day,block,timestamp,time_utc,gas_used,user_tx_count
2026-09-03,53361580,1788432802,2026-09-03T10:53:22Z,4408424,9
2026-09-03,53361610,1788432805,2026-09-03T10:53:25Z,1092459,6
2026-09-03,53361640,1788432808,2026-09-03T10:53:28Z,1741453,7
2026-09-03,53361670,1788432811,2026-09-03T10:53:31Z,996184,6
2026-09-03,53361700,1788432814,2026-09-03T10:53:34Z,2783286,10
2026-09-03,53361730,1788432817,2026-09-03T10:53:37Z,737292,2
2026-09-03,53361760,1788432820,2026-09-03T10:53:40Z,678519,5
2026-09-03,53361790,1788432823,2026-09-03T10:53:43Z,4661463,9
2026-09-03,53361820,1788432826,2026-09-03T10:53:46Z,2866867,10
2026-09-03,53361850,1788432830,2026-09-03T10:53:50Z,185711,1
2026-09-03,53361880,1788432833,2026-09-03T10:53:53Z,2268201,8
2026-09-03,53361910,1788432836,2026-09-03T10:53:56Z,1649074,10
2026-09-03,53361940,1788432839,2026-09-03T10:53:59Z,3195299,10
2026-09-03,53361970,1788432842,2026-09-03T10:54:02Z,1470872,4
2026-09-03,53362000,1788432845,2026-09-03T10:54:05Z,2104552,3
2026-09-03,53362030,1788432848,2026-09-03T10:54:08Z,449003,1
2026-09-03,53362060,1788432851,2026-09-03T10:54:11Z,1911354,7
2026-09-03,53362090,1788432854,2026-09-03T10:54:14Z,2627693,5
2026-09-03,53362120,1788432858,2026-09-03T10:54:18Z,1313755,8
2026-09-03,53362150,1788432861,2026-09-03T10:54:21Z,309222,8
2026-09-03,53362180,1788432864,2026-09-03T10:54:24Z,1154748,6
2026-09-03,53362210,1788432867,2026-09-03T10:54:27Z,871047,3
2026-09-03,53362240,1788432870,2026-09-03T10:54:30Z,1812705,4
2026-09-03,53362270,1788432873,2026-09-03T10:54:33Z,3553455,10
2026-09-03,53362300,1788432876,2026-09-03T10:54:36Z,289071,2
2026-09-03,53362330,1788432879,2026-09-03T10:54:39Z,3976815,7
2026-09-03,53362360,1788432882,2026-09-03T10:54:42Z,515173,7
2026-09-03,53362390,1788432885,2026-09-03T10:54:45Z,828824,4
2026-09-03,53362420,1788432888,2026-09-03T10:54:48Z,1567882,9
2026-09-03,53362450,1788432891,2026-09-03T10:54:51Z,1953922,8
2026-09-03,53362480,1788432894,2026-09-03T10:54:54Z,521843,3
2026-09-03,53362510,1788432897,2026-09-03T10:54:57Z,1462895,4
2026-09-03,53362540,1788432900,2026-09-03T10:55:00Z,5376883,8
2026-09-03,53362570,1788432903,2026-09-03T10:55:03Z,2403513,7
2026-09-03,53362600,1788432906,2026-09-03T10:55:06Z,3209047,5
2026-09-03,53362630,1788432910,2026-09-03T10:55:10Z,154308,2
2026-09-03,53362660,1788432913,2026-09-03T10:55:13Z,205786,2
2026-09-03,53362690,1788432916,2026-09-03T10:55:16Z,4008757,7
2026-09-03,53362720,1788432919,2026-09-03T10:55:19Z,1617352,7
2026-09-03,53362750,1788432922,2026-09-03T10:55:22Z,1724450,8
2026-09-03,53362780,1788432925,2026-09-03T10:55:25Z,1329842,4
2026-09-03,53362810,1788432928,2026-09-03T10:55:28Z,46223,1
2026-09-03,53362840,1788432931,2026-09-03T10:55:31Z,1030970,1
2026-09-03,53362870,1788432934,2026-09-03T10:55:34Z,968798,5
2026-09-03,53362900,1788432937,2026-09-03T10:55:37Z,285311,2
2026-09-03,53362930,1788432940,2026-09-03T10:55:40Z,793030,3
